"","xh","r","p","fisrtYear","endYear","r_nino","p_nino","code","code_simple","lon","lat"
"116",151,-0.327260240040571,0.0392756080976447,1818,2006,0.237780651672994,0.139554030396519,"chin023","chin023",100,30
"117",152,-0.346901312907894,0.028305278479011,1696,2007,0.0594328116221053,0.715642166101616,"chin024","chin024",99.0333,28.3667
"118",153,-0.121735432875928,0.454280450358685,1698,2007,-0.297309746880387,0.0624476956963872,"chin025","chin025",99.2667,27.3667
"119",154,-0.297689132223555,0.0620980524484108,1582,2007,0.301901383821583,0.0583195547936384,"chin026","chin026",99.8,27.6167
"120",155,-0.212480819358756,0.188065638379003,1517,2007,-0.119616248434767,0.462232233732078,"chin027","chin027",99.3,27.3333
"121",156,-0.1579563261495,0.330327561111746,1739,2007,-0.162376340998617,0.316799328937404,"chin028","chin028",99.3,27.3333
"122",165,-0.46269393663064,0.00264533373865658,1565,2005,0.0900468924871927,0.58055643401175,"chin037","chin037",99.35,27.58
"123",166,-0.133287884009036,0.412259822249759,1727,2005,-0.149768825099192,0.356318882293688,"chin038","chin038",99.29,27.59
"124",167,-0.265844622133122,0.0973134181814517,1738,2005,0.00122479344333922,0.994015416475885,"chin039","chin039",99.02,28.04
"125",168,-0.151400329142702,0.351043436100381,1694,2005,-0.0496319892246933,0.761025827034956,"chin040","chin040",98.98,28.04
"126",169,-0.161418981879579,0.31969946621982,1677,2005,-0.207899913852399,0.197990046642666,"chin041","chin041",98.4,27.88
"127",184,-0.182038224456785,0.260916489607279,1523,2005,0.378397203889951,0.0160582747659967,"chin056","chin056",110.08,34.4653
"128",185,-0.257395078920837,0.108838299798174,1600,2005,0.40730500101329,0.00909319765182245,"chin057","chin057",110.0808,34.4633
"129",186,-0.314955329520049,0.0477610921320471,1565,2005,0.405578730150626,0.00942025814723883,"chin058","chin058",110.0781,34.4642
"130",189,0.0671332699768593,0.680640481463395,1148,2003,-0.227344303612861,0.15830094614334,"chin061","chin061",98.6294,37.0258
"131",193,0.353084614308044,0.025429245567473,1396,2006,-0.35825490242269,0.0232146645277575,"chin065","chin065",95.7206,32.66
"132",195,0.0227188104822624,0.88933326857335,-1689,2011,-0.161558005151166,0.319277290374045,"chin067","chin067",97.75,37.25
"133",196,0.0910356846226709,0.576390318246503,1203,2011,-0.186043991824351,0.250389750163769,"chin068","chin068",98.35,36.2333
"134",198,-0.105168450465739,0.518378564473068,606,2008,0.0306518752575707,0.851067784108516,"chin070","chin070",99.3333,38.5667
"135",199,-0.0674782491404583,0.679087113116897,715,2008,-0.0053765601034933,0.973733381132931,"chin071","chin071",99.8667,38.2
"136",200,-0.152510173691835,0.347482076838574,1840,2007,0.345335287999955,0.02907487596628,"chin072","chin072",112.2333,33.7333
"137",201,-0.063908363476877,0.695223739906669,1855,2013,0.0132984705491855,0.935089339604667,"chin073","chin073",119.45,28.6
"138",202,-0.0559566392850001,0.73163791504247,595,2010,-0.0479341145235473,0.768973742166186,"chin074","chin074",97,31
"139",203,-0.0552455874070617,0.734923944779892,1603,2013,-0.0108000986011815,0.947265013220482,"chin075","chin075",99.95,29.15
"140",209,-0.143495086524159,0.377048070058118,1868,2012,0.303381414635835,0.057036313745131,"chin081","chin081",119.52,30.35
"141",210,-0.0806068652906076,0.620993617812327,1865,2014,-0.0726983132536663,0.655745014520177,"chin082","chin082",119.33,30.37
"142",211,-0.0544823868151368,0.738456161477194,1905,2014,0.0122825476837087,0.940038779591063,"chin083","chin083",115.77,31.13
"143",214,-0.506044534088354,0.000864210027976475,1869,2012,0.423711001554942,0.00644040198412743,"chn086","chn086",101.03,24.54
"144",215,-0.120361185329066,0.459428554839987,1620,2005,-0.0979090376695504,0.547811829247444,"chn087","chn087",98.77,27.16
"145",216,0.0614363450120054,0.7064764672802,1890,2018,0.138769669260097,0.393122338812768,"chn088","chn088",108.654847,33.440325
"146",219,-0.062940620361034,0.699621431208904,1948,2020,0.16265021726037,0.315972730246163,"chn091","chn091",127.394217,45.241736
"147",220,0.0831136773783676,0.610141044139577,1790,2006,0.2147445236847,0.183293688835532,"geor002","geor002",43.4833,41.7167
"148",221,0.00843686334718265,0.958793042369439,1816,2006,0.271756588100878,0.0898235709188795,"geor003","geor003",43.5,41.7167
"149",222,-0.196655222172725,0.223894777888482,1798,2006,0.19063373408519,0.238682961096457,"geor004","geor004",43.4833,41.7833
"150",223,-0.136475555420762,0.401067617323459,1809,2006,0.265880176702612,0.0972669857058603,"geor005","geor005",43.45,41.8
"151",224,-0.111802747393841,0.492184423757144,1871,2006,0.0750751729803066,0.645220986176497,"geor006","geor006",42.7167,41.6167
"152",225,-0.0410839064801254,0.801269713348151,1857,2006,0.167016455050768,0.302978615852739,"geor007","geor007",42.5167,41.6167
"153",226,-0.144577139131926,0.373422833798947,1832,2006,0.174759327259597,0.280786827545383,"geor008","geor008",43.5167,41.7667
"154",227,0.140991306657325,0.385516042097557,1895,2006,0.0172746296696428,0.915742876671773,"geor009","geor009",42.75,41.5833
"155",228,-0.026745465469648,0.869874026495275,1863,2006,0.156230995989226,0.335704163766325,"geor010","geor010",42.85,41.8167
"156",230,-0.396295991931998,0.0113569333557536,1879,2004,0.218227292724193,0.176121110014996,"ind027","ind027",111.483333,-7.083333
"157",252,-0.351821900583046,0.0259959614635364,1741,2004,0.200195042370595,0.21550115337001,"indi024","indi024",78.1667,31.3667
"158",253,-0.0198305049747465,0.903331519240218,1911,2003,0.428824618516189,0.00576396885300703,"indi025","indi025",76.8667,10.1833
"159",255,-0.307262372922151,0.0537782229978172,1834,2004,0.456409951439277,0.00307486777724328,"indo002","indo002",111.3667,-7.1167
"160",256,0.14265710724763,0.379869838295138,1746,2004,-0.109356207050218,0.501764022199376,"indo003","indo003",111.2,-7.8667
"161",257,-0.491002355727008,0.00129547757319657,1746,2005,0.290212651680248,0.0692811067311864,"indo004","indo004",111.7833,-7.5
"162",258,0.0972939057903024,0.550341815252747,1668,2005,0.261997045244522,0.102439405020685,"indo005","indo005",122.7095,-4.8686
"163",259,-0.411931270827619,0.00826425442873698,1833,2004,0.543882452218648,0.000286340308418312,"indo006","indo006",110.2667,-7.0333
"164",263,0.0823855062144082,0.613285135533236,1749,2003,-0.0206034112444669,0.899582603731084,"japa010","japa010",145.0133,43.9933
"165",264,0.0775193639300157,0.634469527923772,1749,2003,-0.0254330163321199,0.87620883845771,"japa011","japa011",143.8333,44.0167
"166",271,0.0276794744359101,0.865370689169035,1654,2005,-0.167968517253053,0.300191205483399,"japa018","japa018",130.45,30.3333
"167",282,-0.0985683009149406,0.545106477323375,1921,2016,0.0963432963967124,0.554262418897228,"kore004","kore004",126.528,33.345
"168",294,-0.463077251812369,0.00262092636973739,1659,2005,0.397395944886107,0.0111110462944376,"kyrg012","kyrg012",79.049,42.2058
"169",295,-0.288747134148309,0.0707629636637078,1479,2005,0.348701512052303,0.0274414886732023,"kyrg013","kyrg013",79.463,42.152
"170",296,-0.179808550705656,0.266901284871329,1662,2004,0.378326404160118,0.0160797146874226,"kyrg014","kyrg014",78.9603,42.4139
"171",297,-0.440788092799389,0.00441668800145282,1723,2004,0.318660956326232,0.0450631180815387,"kyrg015","kyrg015",79.45,42.15
"172",298,-0.136062985434616,0.402506236908206,1858,2010,-0.149652554648801,0.356696662792125,"lbn007","lbn007",NA,NA
"173",299,-0.313186155490669,0.0490943588008034,1925,2011,0.117603669500857,0.469852485205054,"lbn008","lbn008",NA,NA
"174",300,-0.319966768625235,0.0441423084475101,1915,2010,0.116067845375008,0.475712110167428,"lbn009","lbn009",NA,NA
"175",301,-0.183127016758365,0.258026630712916,1868,2009,0.0693432205794774,0.670712317974319,"lbn010","lbn010",NA,NA
"176",302,-0.169157880753235,0.296732164860903,1937,2011,0.187525116372343,0.246570641773451,"lbn011","lbn011",NA,NA
"177",303,-0.0641284122945726,0.694225143258467,1853,2011,-0.125733415429402,0.439482527997228,"lbn012","lbn012",NA,NA
"178",310,-0.0723878889703501,0.657124392981611,1793,2005,-0.0573996821109658,0.72498364886072,"ls001","ls001",102.8,18.1667
